Школа им. Маяковского;ул. 1-я Дубровская, д. 16
Школа № 1279;113149, ул. Азовская, 2/2
Школа № 1282;107014, ул. Барболина, д. 1
Школа № 1283;103045, ул. Садовая-Спасская, д. 8
Школа № 1284 им. Наташи Ковшовой;101000, Уланский пер., д. 8/10
Школа № 1285;123362, ул. Свободы, д. 3, к. 1
Школа № 1286;125481, ул. Героев Панфиловцев, д. 15
Школа № 1287;125167, Аэропорта пр., д. 10
Школа № 1288 им. Н. В. Троян;125284, ул. Поликарпова, д. 3А
Школа № 1290;105077, ул. Первомайская, д. 59
Школа № 1296 (ГБОУ);127237, Керамический пр., д. 55, к. 3
Школа № 1297;129041, Глинистый пер., д. 7
Школа № 1299;127055, ул. Новослободская, д. 57
Школа № 1302;ул. Исаковского, д. 29, корп. 1
Школа № 1310;ул. Перовская, д. 44а
Школа № 1311;Ленинский, д. 97, корп. 1
Школа № 1315;Конаковский проезд, д. 5
Школа № 1317;ул. Академика Анохина, д. 4, корп. 5
Школа № 1321 «Ковчег»;ул. Авиамоторная, д. 30а, корп. 1
Школа № 1324;Федеративный проспект, д. 27
Школа № 1329;ул. Никулинская, д. 10
Школа № 1347;ул. Главмосстроя, д. 28
Школа Новокосино (бывш. Школа № 1351 (1047));ВАО;111673, ул. Суздальская, д. 22Б
Школа № 1352 (до 2005—314);ВАО;107207, Щёлковское шоссе, д. 77а;с углублённым изучением английского языка
Школа № 1353 (1976—1993;№ 608; 1993—2001;УВК «Родник»; 2001—2005;№ 1806);Зеленоград;с углублённым изучением английского языка;124498, Зеленоград, Берёзовая ал., д. 8а
Школа № 1354 «Вектор»;ЮЗАО;Москва, Изюмская улица, дом 38, корпус 1
Школа № 1355;ЮЗАО;Джанкойская улица, д. 7
Школа № 1356;ЮЗАО;ул. Грина, д. 18Б
Школа № 1357 «На Братиславской»;ЮВАО;117623, с углублённым изучением английского языка, ул. Перервинский бульвар, д. 7
Школа № 1358;СЗАО;125310, Пятницкое шоссе, д. 45, корп. 2
Школа № 1360;с углублённым изучением математики;ул. Краснобогатырская, д. 21, к. 2
Школа № 1363;Рязанский пр-т, д. 82, к. 4
Школа № 1368;с углублённым изучением информационных технологий
Школа № 1375;Нагатинская наб., 24
Школа № 1381;Янтарный проезд, д. 2
Школа № 1383;ул. Дубнинская, д. 7
Школа № 1384 имени А. А. Леманского;ул. Новопесчаная, д. 15
Школа № 1387;ул. Соколово-Мещёрская, д. 27
Вешняковская школа;ул. Кетчерская, д. 8а
Школа № 1391;рабочий посёлок Киевский, д. 7а
Школа № 1392 имени Д. В. Рябинкина;поселение Десёновское
Школа № 1394 «На набережной»;Батайский проезд, д. 47
Школа № 1399;ул. Вилиса Лациса, д. 33, корп. 2
Школа № 1400 им. Е. В. Кулагиной и В. С. Сотниковой (ГБОУ);Можайское шоссе, д. 48
Школа № 1404 «Гамма»;107014, ул. Б. Оленья, д. 3/5
Школа № 1409 (ГБОУ);125252, Ходынский бульвар, д. 7
Школа № 1411;127566, Северный б-р, д. 1А
Школа № 1412;127549, ул. Мурановская, д. 4А
